day,x,y,z
143,-9.858493044176531E12,-7.211711223047356E11,1.64540083370717E7
144,-9.92665500271145E12,-7.260136326971101E11,1.651116849687971E7
145,-9.99481695118679E12,-7.308561423535361E11,1.656832864409609E7
146,-1.0062978889739732E13,-7.35698651284194E11,1.6625488778909767E7
147,-1.0131140818504672E13,-7.405411594990541E11,1.6682648901505567E7
148,-1.0199302737613287E13,-7.453836670078829E11,1.6739809012064317E7
149,-1.0267464647194621E13,-7.502261738202485E11,1.679696911076296E7
150,-1.0335626547375148E13,-7.550686799455259E11,1.6854129197774667E7
151,-1.0403788438278838E13,-7.599111853929017E11,1.6911289273268946E7
152,-1.0471950320027225E13,-7.647536901713801E11,1.6968449337411728E7
153,-1.0540112192739467E13,-7.695961942897865E11,1.702560939036548E7
154,-1.0608274056532416E13,-7.744386977567732E11,1.70827694322893E7
155,-1.0676435911520676E13,-7.792812005808234E11,1.7139929463338993E7
156,-1.0744597757816646E13,-7.841237027702555E11,1.7197089483667184E7
157,-1.081275959553059E13,-7.889662043332278E11,1.725424949342338E7
158,-1.0880921424770688E13,-7.938087052777421E11,1.7311409492754065E7
159,-1.0949083245643088E13,-7.98651205611648E11,1.736856948180277E7
160,-1.1017245058251953E13,-8.034937053426465E11,1.7425729460710164E7
161,-1.1085406862699516E13,-8.083362044782941E11,1.7482889429614127E7
162,-1.1153568659086125E13,-8.13178703026006E11,1.7540049388649806E7
163,-1.1221730447510285E13,-8.180212009930594E11,1.7597209337949716E7
164,-1.1289892228068709E13,-8.22863698386598E11,1.7654369277643763E7
165,-1.135805400085636E13,-8.277061952136337E11,1.771152920785935E7
166,-1.1426215765966488E13,-8.32548691481051E11,1.7768689128721423E7
167,-1.1494377523490678E13,-8.373911871956096E11,1.7825849040352542E7
168,-1.156253927351888E13,-8.422336823639476E11,1.7883008942872927E7
169,-1.1630701016139457E13,-8.470761769925841E11,1.7940168836400535E7
170,-1.1698862751439223E13,-8.51918671087922E11,1.7997328721051093E7
171,-1.1767024479503469E13,-8.567611646562515E11,1.8054488596938163E7
172,-1.1835186200416008E13,-8.616036577037517E11,1.8111648464173205E7
173,-1.1903347914259201E13,-8.664461502364938E11,1.816880832286562E7
174,-1.1971509621114E13,-8.712886422604435E11,1.8225968173122793E7
175,-1.2039671321059965E13,-8.761311337814634E11,1.8283128015050154E7
176,-1.2107833014175314E13,-8.809736248053153E11,1.8340287848751213E7
177,-1.2175994700536943E13,-8.85816115337663E11,1.839744767432761E7
178,-1.2244156380220451E13,-8.906586053840734E11,1.8454607491879165E7
179,-1.2312318053300184E13,-8.955010949500198E11,1.851176730150391E7
180,-1.2380479719849244E13,-9.003435840408833E11,1.856892710329814E7
181,-1.2448641379939527E13,-9.051860726619551E11,1.8626086897356447E7
182,-1.2516803033641756E13,-9.100285608184387E11,1.8683246683771767E7
183,-1.2584964681025492E13,-9.148710485154517E11,1.8740406462635405E7
184,-1.2653126322159168E13,-9.197135357580273E11,1.8797566234037086E7
185,-1.272128795711011E13,-9.245560225511168E11,1.8854725998064987E7
186,-1.2789449585944564E13,-9.293985088995907E11,1.8911885754805762E7
187,-1.2857611208727715E13,-9.342409948082412E11,1.896904550434459E7
188,-1.2925772825523709E13,-9.39083480281783E11,1.9026205246765204E7
189,-1.2993934436395686E13,-9.439259653248555E11,1.9083364982149914E7
190,-1.3062096041405785E13,-9.487684499420243E11,1.9140524710579645E7
191,-1.3130257640615176E13,-9.536109341377828E11,1.919768443213398E7
192,-1.3198419234084072E13,-9.584534179165538E11,1.925484414689116E7
193,-1.326658082187176E13,-9.632959012826908E11,1.9312003854928154E7
194,-1.333474240403661E13,-9.681383842404795E11,1.9369163556320637E7
195,-1.340290398063609E13,-9.729808667941388E11,1.942632325114306E7
196,-1.3471065551726803E13,-9.778233489478231E11,1.948348293946866E7
197,-1.3539227117364488E13,-9.826658307056227E11,1.9540642621369477E7
198,-1.360738867760404E13,-9.875083120715656E11,1.95978022969164E7
